train            ;                                   Zug
the train           ;                                 der Zug
a train           ;                                  ein Zug
the trains           ;                                die ZuÌˆge
the automobile           ;                           der Wagen / das Auto
an automobile           ;                            ein Wagen / ein Auto
the taxi           ;                                 das Taxi
a taxi           ;                                   ein Taxi
the taxis           ;                                 die Taxis
the boat / the ship        ;                            das Schiff
a boat / a ship        ;                               ein Schiff
the airplane           ;                              das Flugzeug
an airplane           ;                               ein Flugzeug
the bus           ;                                  der Autobus / der Bus
the bus stop          ;                               die Bushaltestelle
a bus stop          ;                                eine Bushaltestelle
the ticket / the map        ;                           die Karte
a ticket           ;                                 eine Karte
the tickets           ;                               die Karten
a ticket to ride         ;                              eine Fahrkarte
the ticket window          ;                          der Fahrkartenschalter
the ticket office          ;                            die Verkaufsstelle
the airport           ;                               der Flughafen
an airport           ;                                ein Flughafen
the flight           ;                                der Flug
the connection           ;                            die Verbindung / der Anschluss
the connections           ;                           die Verbindungen
a connection           ;                             eine Verbindung
the toilets           ;                                die Toiletten
the gate           ;                                 der Flugsteig
the railway           ;                               die Eisenbahn
the train station          ;                            der Bahnhof
the platform           ;                             der Bahnsteig
Which platform?          ;                           Welcher Bahnsteig?
Which track?          ;                              Welches Gleis?
Which train car?         ;                            Welcher Wagen?
